Franchise,Estimate Copies sold (millions),Nintendo ,Primary Genre
Smash Bros Ultimate,76.85,X,Fighting
Super Mario,909.38,X,Platformer
Donkey Kong,92,X,Platformer
Yoshi,29.34,X,Platformer
Wario,22.81,X,Party
Legend of Zelda,170.35,X,Action/Adventure
Metroid,21.6,X,Metroidvania
Kirby,48,X,Platformer
Star Fox,11.67,X,Shooter
Pokemon,480,X,RPG
Mother/Earthbound,1.58,X,RPG
F-Zero,5.85,X,Racing
Ice Climber,1.5,X,Platformer
Fire Emblem,20,X,Tactical RPG
Game & Watch,43.4,X,Arcade
Kid Icarus,3.07,X,Shooter
Metal Gear,61.1,X,Action/Adventure
R.O.B.,1.32,X,Puzzle
Sonic,182.13,,Platformer
Pikmin,7.2,X,Strategy
Animal Crossing,76.76,X,Simulation
Mega Man,42,,Platformer
Wii Series,215.81,X,Party
Punch-Out,4.7,X,Sports
Pac-Man,63,,Arcade
Xenoblade,8.7,X,RPG
Duck Hunt,28.6,X,Shooter
Street Fighter,56,,Fighting
Final Fantasy,200,,RPG
Bayonetta,7,,Hack and Slash
Splatoon,28.38,X,Shooter
Castlevania,20,,Metroidvania
Persona,42.7,,RPG
Dragon Quest,88,,RPG
Banjo-Kazooie,6.34,,Platformer
Fatal Fury,5,,Fighting
Arms,2.72,X,Fighting
Minecraft,350,,Sandbox
Tekken,57,,Fighting
Kingdom Hearts,36,,RPG
Nintendogs,27.95,X,Simulation
Monster Hunter,108,,Action/Adventure
Undertale,10,,RPG
Cuphead,8,,Platformer
Tetris,520,,Puzzle
Golden Sun,3,X,RPG
Assassin's Creed,200,,Action/Adventure
Resident Evil,167,,Horror
The Sims,200,,Simulation
Bomberman,23.2,X,Puzzle
Virtua Fighter,18.8,,Fighting
Elder Scrolls,59.3,,RPG
Fallout,38,,RPG
Devil May Cry,33,,Hack and Slash
Rabbids,20,,Tactical RPG
Shovel Knight,3,,Platformer
Balloon Fight,1,X,Arcade
